"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2020","194.64","193.75","194.87","193.25","3.75M","0.46%"
"12/30/2020","193.75","193.90","194.38","193.60","4.31M","0.27%"
"12/29/2020","193.23","194.86","194.95","192.82","4.61M","-0.42%"
"12/28/2020","194.04","194.59","194.60","193.80","3.78M","0.63%"
"12/24/2020","192.82","192.88","193.00","192.24","1.74M","-0.24%"
"12/23/2020","193.28","193.65","194.22","193.16","3.45M","0.17%"
"12/22/2020","192.95","193.31","193.48","192.21","4.34M","0.02%"
"12/21/2020","192.91","191.60","193.35","189.82","5.01M","-0.29%"
"12/18/2020","193.47","194.38","194.47","192.21","4.54M","-0.28%"
"12/17/2020","194.02","193.42","194.02","193.21","4.13M","0.78%"
"12/16/2020","192.51","192.47","192.99","191.89","2.98M","0.14%"
"12/15/2020","192.24","191.19","192.27","190.38","3.23M","1.37%"
"12/14/2020","189.64","191.69","192.19","189.58","3.53M","-0.28%"
"12/11/2020","190.18","189.56","190.37","188.60","3.46M","-0.18%"
"12/10/2020","190.52","189.33","190.91","188.71","3.22M","0.15%"
"12/09/2020","190.24","192.54","192.64","189.51","4.47M","-0.98%"
"12/08/2020","192.13","190.64","192.39","190.60","3.45M","0.43%"
"12/07/2020","191.30","191.30","191.50","190.62","4.32M","-0.11%"
"12/04/2020","191.51","190.00","191.51","189.99","4.40M","1.00%"
"12/03/2020","189.61","189.32","190.30","189.02","4.41M","0.20%"
"12/02/2020","189.23","188.44","189.29","187.80","3.83M","0.08%"
"12/01/2020","189.07","189.17","189.80","188.65","3.87M","1.27%"
"11/30/2020","186.70","188.06","188.13","185.54","3.72M","-0.79%"
"11/27/2020","188.18","188.13","188.37","187.68","1.74M","0.35%"
"11/25/2020","187.52","187.45","187.68","186.57","3.46M","-0.04%"
"11/24/2020","187.59","186.29","187.82","185.60","5.38M","1.55%"
"11/23/2020","184.73","184.29","185.20","183.37","4.39M","0.82%"
"11/20/2020","183.23","184.17","184.17","183.16","2.79M","-0.53%"
"11/19/2020","184.20","183.00","184.35","182.21","3.04M","0.56%"
"11/18/2020","183.18","185.45","185.75","183.17","3.28M","-1.06%"
"11/17/2020","185.14","184.76","185.69","183.61","5.73M","-0.23%"
"11/16/2020","185.56","185.54","185.61","184.09","6.19M","1.22%"
"11/13/2020","183.32","181.88","183.64","181.58","4.77M","1.42%"
"11/12/2020","180.76","181.95","182.40","179.70","3.33M","-0.99%"
"11/11/2020","182.56","182.43","182.90","181.59","2.88M","0.81%"
"11/10/2020","181.09","181.01","181.69","179.09","5.61M","-0.17%"
"11/09/2020","181.39","187.52","187.52","181.12","5.55M","1.19%"
"11/06/2020","179.26","179.18","179.80","178.08","3.22M","-0.05%"
"11/05/2020","179.35","178.67","180.08","178.41","3.68M","2.07%"
"11/04/2020","175.72","174.16","177.85","173.69","3.63M","2.18%"
"11/03/2020","171.97","170.70","172.96","170.34","4.10M","1.92%"
"11/02/2020","168.73","168.79","169.81","167.16","3.74M","1.04%"
"10/30/2020","166.99","167.89","168.75","165.02","3.99M","-1.06%"
"10/29/2020","168.78","167.50","170.47","166.50","3.10M","0.94%"
"10/28/2020","167.20","169.90","170.23","167.01","4.62M","-3.31%"
"10/27/2020","172.93","173.83","174.02","172.82","2.53M","-0.40%"
"10/26/2020","173.63","175.04","175.49","171.60","3.87M","-1.82%"
"10/23/2020","176.84","176.81","176.95","175.46","2.41M","0.33%"
"10/22/2020","176.26","175.33","176.56","174.12","3.76M","0.71%"
"10/21/2020","175.02","175.66","176.72","175.02","3.24M","-0.34%"
"10/20/2020","175.62","175.90","177.36","175.24","2.63M","0.35%"
"10/19/2020","175.01","178.31","179.25","174.62","2.71M","-1.43%"
"10/16/2020","177.55","178.48","179.31","177.55","1.91M","-0.18%"
"10/15/2020","177.87","175.61","178.07","175.16","2.87M","0.03%"
"10/14/2020","177.81","179.20","179.92","177.49","2.16M","-0.66%"
"10/13/2020","179.00","179.67","179.82","178.43","2.45M","-0.53%"
"10/12/2020","179.95","178.65","180.64","178.41","2.90M","1.48%"
"10/09/2020","177.32","176.90","177.63","176.44","2.49M","0.84%"
"10/08/2020","175.84","175.53","175.89","174.88","2.34M","0.88%"
"10/07/2020","174.31","172.99","174.73","172.94","1.95M","1.75%"
"10/06/2020","171.32","173.73","174.98","171.01","2.80M","-1.23%"
"10/05/2020","173.46","171.61","173.53","171.33","2.57M","1.80%"
"10/04/2020","170.39","170.39","170.39","170.39","","0.00%"
"10/03/2020","170.39","170.39","170.39","170.39","","0.00%"
"10/02/2020","170.39","168.65","171.31","168.23","2.33M","-0.78%"
"10/01/2020","171.73","171.72","172.25","170.61","3.23M","0.83%"
"09/30/2020","170.31","169.51","171.97","169.25","4.79M","0.75%"
"09/29/2020","169.04","169.84","170.23","168.69","2.12M","-0.56%"
"09/28/2020","169.99","169.32","170.30","168.89","3.29M","1.81%"
"09/27/2020","166.96","166.96","166.96","166.96","","0.00%"
"09/26/2020","166.96","166.96","166.96","166.96","","0.00%"
"09/25/2020","166.96","163.78","167.44","163.53","2.99M","1.19%"
"09/24/2020","164.99","163.92","166.69","162.85","3.79M","0.21%"
"09/23/2020","164.64","169.00","169.13","164.35","2.07M","-2.41%"
"09/22/2020","168.71","167.76","168.93","166.37","2.09M","0.99%"
"09/21/2020","167.05","166.47","167.06","164.27","4.18M","-1.21%"
"09/18/2020","169.09","171.21","171.21","167.53","3.18M","-0.97%"
"09/17/2020","170.75","169.56","171.54","169.22","2.78M","-0.82%"
"09/16/2020","172.17","173.46","174.38","172.07","2.83M","-0.33%"
"09/15/2020","172.74","173.20","173.64","172.11","2.13M","0.57%"
"09/14/2020","171.76","171.00","172.37","170.60","3.08M","1.56%"
"09/13/2020","169.12","169.12","169.12","169.12","","0.00%"
"09/11/2020","169.12","170.24","170.56","167.50","3.41M","0.04%"
"09/10/2020","169.06","173.06","173.49","168.60","3.51M","-1.64%"
"09/09/2020","171.88","170.83","173.14","170.33","4.29M","1.96%"
"09/08/2020","168.58","170.30","171.04","168.36","3.98M","-2.81%"
"09/04/2020","173.45","175.34","176.14","169.20","4.38M","-0.85%"
